x,y,z
-2.6,-2,0.33333333333333337
-2.5,-2,0.33333333333333337
-2.4000000000000004,-2,0.33333333333333337
-2.3000000000000003,-2,0.2666666666666667
-2.2,-2,0.2666666666666667
-2.1,-2,0.2666666666666667
-2.0,-2,0.2666666666666667
-1.9000000000000001,-2,0.19999999999999996
-1.8,-2,0.1333333333333333
-1.7000000000000002,-2,0.06666666666666665
-1.6,-2,0.06666666666666665
-1.5,-2,0.0
-1.4000000000000001,-2,0.0
-1.3,-2,0.0
-1.2000000000000002,-2,0.0
-1.1,-2,0.0
-1.0,-2,0.0
-0.9,-2,0.0
-0.8,-2,0.0
-0.7000000000000001,-2,0.0
-0.6000000000000001,-2,0.0
-0.5,-2,0.0
-0.4,-2,0.0
-0.30000000000000004,-2,0.0
-0.2,-2,0.0
-0.1,-2,0.0
0.0,-2,0.0
0.1,-2,0.0
0.2,-2,0.0
0.30000000000000004,-2,0.0
0.4,-2,0.0
0.5,-2,0.0
0.6000000000000001,-2,0.0
0.7000000000000001,-2,0.0
0.8,-2,0.0
0.9,-2,0.0
1.0,-2,0.0
1.1,-2,0.0
1.2000000000000002,-2,0.0
1.3,-2,0.0
1.4000000000000001,-2,0.0
1.5,-2,0.0
1.6,-2,0.0
1.7000000000000002,-2,0.0
1.8,-2,0.0
1.9000000000000001,-2,0.0
2.0,-2,0.0
2.1,-2,0.0
2.2,-2,0.0
2.3000000000000003,-2,0.0
2.4000000000000004,-2,0.0
2.5,-2,0.0
2.6,-2,0.0
2.7,-2,0.0
2.8000000000000003,-2,0.0
2.9000000000000004,-2,0.0
3.0,-2,0.0
3.1,-2,0.0
3.2,-2,0.06666666666666665
3.3000000000000003,-2,0.06666666666666665
3.4000000000000004,-2,0.06666666666666665
3.5,-2,0.06666666666666665
3.6,-2,0.06666666666666665
3.7,-2,0.06666666666666665
3.8000000000000003,-2,0.06666666666666665
3.9000000000000004,-2,0.06666666666666665
4.0,-2,0.06666666666666665
4.1000000000000005,-2,0.1333333333333333
4.2,-2,0.1333333333333333
-2.6,-1.95,0.375
-2.5,-1.95,0.33333333333333337
-2.4000000000000004,-1.95,0.33333333333333337
-2.3000000000000003,-1.95,0.33333333333333337
-2.2,-1.95,0.2666666666666667
-2.1,-1.95,0.2666666666666667
-2.0,-1.95,0.2666666666666667
-1.9000000000000001,-1.95,0.19999999999999996
-1.8,-1.95,0.1333333333333333
-1.7000000000000002,-1.95,0.1333333333333333
-1.6,-1.95,0.06666666666666665
-1.5,-1.95,0.0
-1.4000000000000001,-1.95,0.0
-1.3,-1.95,0.0
-1.2000000000000002,-1.95,0.0
-1.1,-1.95,0.0
-1.0,-1.95,0.0
-0.9,-1.95,0.0
-0.8,-1.95,0.0
-0.7000000000000001,-1.95,0.0
-0.6000000000000001,-1.95,0.0
-0.5,-1.95,0.0
-0.4,-1.95,0.0
-0.30000000000000004,-1.95,0.0
-0.2,-1.95,0.0
-0.1,-1.95,0.0
0.0,-1.95,0.0
0.1,-1.95,0.0
0.2,-1.95,0.0
0.30000000000000004,-1.95,0.0
0.4,-1.95,0.0
0.5,-1.95,0.0
0.6000000000000001,-1.95,0.0
0.7000000000000001,-1.95,0.0
0.8,-1.95,0.0
0.9,-1.95,0.0
1.0,-1.95,0.0
1.1,-1.95,0.0
1.2000000000000002,-1.95,0.0
1.3,-1.95,0.0
1.4000000000000001,-1.95,0.0
1.5,-1.95,0.0
1.6,-1.95,0.0
1.7000000000000002,-1.95,0.0
1.8,-1.95,0.0
1.9000000000000001,-1.95,0.0
2.0,-1.95,0.0
2.1,-1.95,0.0
2.2,-1.95,0.0
2.3000000000000003,-1.95,0.0
2.4000000000000004,-1.95,0.0
2.5,-1.95,0.0
2.6,-1.95,0.0
2.7,-1.95,0.0
2.8000000000000003,-1.95,0.0
2.9000000000000004,-1.95,0.0
3.0,-1.95,0.0
3.1,-1.95,0.06666666666666665
3.2,-1.95,0.06666666666666665
3.3000000000000003,-1.95,0.06666666666666665
3.4000000000000004,-1.95,0.06666666666666665
3.5,-1.95,0.06666666666666665
3.6,-1.95,0.06666666666666665
3.7,-1.95,0.06666666666666665
3.8000000000000003,-1.95,0.06666666666666665
3.9000000000000004,-1.95,0.06666666666666665
4.0,-1.95,0.06666666666666665
4.1000000000000005,-1.95,0.1333333333333333
4.2,-1.95,0.1333333333333333
-2.6,-1.9,0.4
-2.5,-1.9,0.33333333333333337
-2.4000000000000004,-1.9,0.33333333333333337
-2.3000000000000003,-1.9,0.33333333333333337
-2.2,-1.9,0.33333333333333337
-2.1,-1.9,0.2666666666666667
-2.0,-1.9,0.2666666666666667
-1.9000000000000001,-1.9,0.19999999999999996
-1.8,-1.9,0.19999999999999996
-1.7000000000000002,-1.9,0.1333333333333333
-1.6,-1.9,0.06666666666666665
-1.5,-1.9,0.0
-1.4000000000000001,-1.9,0.0
-1.3,-1.9,0.0
-1.2000000000000002,-1.9,0.0
-1.1,-1.9,0.0
-1.0,-1.9,0.0
-0.9,-1.9,0.0
-0.8,-1.9,0.0
